Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn);Nedbør (døgn)
Narvik Sentrum;SN84701;29.03.2021;8,1;0
Narvik Sentrum;SN84701;30.03.2021;5,2;4,6
Narvik Sentrum;SN84701;31.03.2021;4,7;2
Narvik Sentrum;SN84701;01.04.2021;3,5;0,5
Narvik Sentrum;SN84701;02.04.2021;3,8;4,4
Narvik Sentrum;SN84701;03.04.2021;5,5;0,4
Narvik Sentrum;SN84701;04.04.2021;4,2;5,7
Narvik Sentrum;SN84701;05.04.2021;2,8;8,2
Narvik Sentrum;SN84701;06.04.2021;4,1;2,2
Narvik Sentrum;SN84701;07.04.2021;1,5;4,1
Narvik Sentrum;SN84701;08.04.2021;2;2,5
Narvik Sentrum;SN84701;09.04.2021;3,2;0
Narvik Sentrum;SN84701;10.04.2021;3,2;0
Narvik Sentrum;SN84701;11.04.2021;4,2;0,8
Narvik Sentrum;SN84701;12.04.2021;4,8;1,2
Narvik Sentrum;SN84701;13.04.2021;4,4;0
Narvik Sentrum;SN84701;14.04.2021;2,9;0,5
Narvik Sentrum;SN84701;15.04.2021;7,3;0,8
Narvik Sentrum;SN84701;16.04.2021;7,4;1
Narvik Sentrum;SN84701;17.04.2021;10,2;0
Narvik Sentrum;SN84701;18.04.2021;10;0
Narvik Sentrum;SN84701;19.04.2021;13,7;0
Narvik Sentrum;SN84701;20.04.2021;13,4;0
Narvik Sentrum;SN84701;21.04.2021;12,3;1,2
