Delivery Start (CET);Delivery End (CET);NO4 Fossil Gas (MW);NO4 Hydro Run Of River And Poundage (MW);NO4 Hydro Water Reservoir (MW);NO4 Other (MW);NO4 Other Renewable (MW);NO4 Wind Offshore (MW);NO4 Wind Onshore (MW);NO4 Total (MW)
08.01.2023 18:00:00;08.01.2023 19:00:00;199;142;3224;;32;;777;4374
08.01.2023 19:00:00;08.01.2023 20:00:00;199;143;3227;;33;;764;4366
08.01.2023 20:00:00;08.01.2023 21:00:00;199;142;3311;;38;;709;4399
08.01.2023 21:00:00;08.01.2023 22:00:00;199;144;3321;;35;;712;4411
08.01.2023 22:00:00;08.01.2023 23:00:00;199;142;3279;;33;;744;4397
08.01.2023 23:00:00;09.01.2023 00:00:00;199;142;3208;;34;;760;4343
09.01.2023 00:00:00;09.01.2023 01:00:00;197;138;3021;;41;;748;4145
09.01.2023 01:00:00;09.01.2023 02:00:00;196;132;2581;;41;;778;3728
09.01.2023 02:00:00;09.01.2023 03:00:00;196;130;2094;;42;;789;3251
09.01.2023 03:00:00;09.01.2023 04:00:00;196;141;1678;;45;;790;2850
09.01.2023 04:00:00;09.01.2023 05:00:00;197;129;1923;;41;;796;3086
09.01.2023 05:00:00;09.01.2023 06:00:00;196;127;2699;;43;;789;3854
09.01.2023 06:00:00;09.01.2023 07:00:00;196;142;2837;;56;;775;4006
09.01.2023 07:00:00;09.01.2023 08:00:00;197;136;2960;;45;;816;4154
09.01.2023 08:00:00;09.01.2023 09:00:00;196;128;3077;;46;;829;4276
09.01.2023 09:00:00;09.01.2023 10:00:00;196;128;3178;;42;;841;4385
09.01.2023 10:00:00;09.01.2023 11:00:00;195;129;3445;;43;;882;4694
09.01.2023 11:00:00;09.01.2023 12:00:00;175;130;3148;;43;;877;4373
09.01.2023 12:00:00;09.01.2023 13:00:00;175;129;3077;;47;;859;4287
09.01.2023 13:00:00;09.01.2023 14:00:00;175;130;3133;;47;;856;4341
09.01.2023 14:00:00;09.01.2023 15:00:00;175;130;3133;;48;;820;4306
09.01.2023 15:00:00;09.01.2023 16:00:00;175;129;3125;;51;;842;4322
09.01.2023 16:00:00;09.01.2023 17:00:00;179;129;3115;;48;;834;4305
09.01.2023 17:00:00;09.01.2023 18:00:00;196;130;3130;;45;;811;4312
09.01.2023 18:00:00;09.01.2023 19:00:00;196;129;3124;;42;;738;4229
09.01.2023 19:00:00;09.01.2023 20:00:00;196;129;3125;;42;;767;4259
09.01.2023 20:00:00;09.01.2023 21:00:00;196;129;3133;;45;;778;4281
09.01.2023 21:00:00;09.01.2023 22:00:00;196;129;3120;;45;;725;4215
09.01.2023 22:00:00;09.01.2023 23:00:00;197;128;3082;;47;;698;4152
09.01.2023 23:00:00;10.01.2023 00:00:00;197;129;3052;;48;;722;4148
10.01.2023 00:00:00;10.01.2023 01:00:00;197;122;2910;;47;;737;4013
10.01.2023 01:00:00;10.01.2023 02:00:00;197;120;2899;;46;;725;3987
10.01.2023 02:00:00;10.01.2023 03:00:00;197;121;2915;;40;;715;3988
10.01.2023 03:00:00;10.01.2023 04:00:00;197;120;2897;;41;;672;3927
10.01.2023 04:00:00;10.01.2023 05:00:00;196;121;2920;;37;;630;3904
10.01.2023 05:00:00;10.01.2023 06:00:00;196;122;2944;;39;;597;3898
10.01.2023 06:00:00;10.01.2023 07:00:00;196;122;3036;;40;;655;4049
10.01.2023 07:00:00;10.01.2023 08:00:00;188;131;3152;;41;;656;4168
10.01.2023 08:00:00;10.01.2023 09:00:00;180;133;3288;;42;;672;4315
10.01.2023 09:00:00;10.01.2023 10:00:00;180;134;3389;;49;;654;4406
10.01.2023 10:00:00;10.01.2023 11:00:00;180;136;3391;;48;;633;4388
10.01.2023 11:00:00;10.01.2023 12:00:00;183;139;3254;;39;;661;4276
10.01.2023 12:00:00;10.01.2023 13:00:00;184;139;3207;;36;;558;4124
10.01.2023 13:00:00;10.01.2023 14:00:00;185;139;3292;;37;;554;4207
10.01.2023 14:00:00;10.01.2023 15:00:00;185;139;3344;;35;;589;4292
10.01.2023 15:00:00;10.01.2023 16:00:00;184;140;3363;;38;;580;4305
10.01.2023 16:00:00;10.01.2023 17:00:00;184;140;3341;;38;;497;4200
10.01.2023 17:00:00;10.01.2023 18:00:00;184;139;3276;;38;;507;4144
10.01.2023 18:00:00;10.01.2023 19:00:00;184;139;3255;;40;;607;4225
10.01.2023 19:00:00;10.01.2023 20:00:00;184;140;3249;;40;;609;4222
10.01.2023 20:00:00;10.01.2023 21:00:00;184;132;3244;;43;;566;4169
10.01.2023 21:00:00;10.01.2023 22:00:00;184;129;3233;;39;;508;4093
10.01.2023 22:00:00;10.01.2023 23:00:00;184;129;3203;;40;;524;4080
10.01.2023 23:00:00;11.01.2023 00:00:00;184;130;3148;;41;;536;4039
11.01.2023 00:00:00;11.01.2023 01:00:00;184;134;2971;;41;;539;3869
11.01.2023 01:00:00;11.01.2023 02:00:00;184;134;2179;;39;;517;3053
11.01.2023 02:00:00;11.01.2023 03:00:00;184;135;1417;;41;;538;2315
11.01.2023 03:00:00;11.01.2023 04:00:00;184;135;1277;;46;;635;2277
11.01.2023 04:00:00;11.01.2023 05:00:00;184;136;1440;;43;;671;2474
11.01.2023 05:00:00;11.01.2023 06:00:00;184;136;1604;;44;;688;2656
11.01.2023 06:00:00;11.01.2023 07:00:00;184;149;2462;;41;;710;3546
11.01.2023 07:00:00;11.01.2023 08:00:00;184;156;2981;;41;;709;4071
11.01.2023 08:00:00;11.01.2023 09:00:00;184;143;3164;;40;;704;4235
11.01.2023 09:00:00;11.01.2023 10:00:00;184;145;3186;;39;;706;4260
11.01.2023 10:00:00;11.01.2023 11:00:00;184;145;3169;;41;;774;4313
11.01.2023 11:00:00;11.01.2023 12:00:00;185;143;3119;;40;;754;4241
11.01.2023 12:00:00;11.01.2023 13:00:00;188;144;3166;;36;;707;4241
11.01.2023 13:00:00;11.01.2023 14:00:00;189;144;3117;;39;;704;4193
11.01.2023 14:00:00;11.01.2023 15:00:00;188;146;2946;;41;;759;4080
11.01.2023 15:00:00;11.01.2023 16:00:00;188;145;2823;;41;;772;3969
11.01.2023 16:00:00;11.01.2023 17:00:00;187;145;2795;;42;;740;3909
11.01.2023 17:00:00;11.01.2023 18:00:00;187;139;2297;;42;;791;3456
11.01.2023 18:00:00;11.01.2023 19:00:00;187;140;1966;;42;;809;3144
11.01.2023 19:00:00;11.01.2023 20:00:00;187;144;1829;;41;;779;2980
11.01.2023 20:00:00;11.01.2023 21:00:00;187;141;1659;;42;;779;2808
11.01.2023 21:00:00;11.01.2023 22:00:00;187;142;1693;;39;;819;2880
11.01.2023 22:00:00;11.01.2023 23:00:00;187;141;1783;;38;;823;2972
11.01.2023 23:00:00;12.01.2023 00:00:00;187;140;1464;;39;;763;2593
12.01.2023 00:00:00;12.01.2023 01:00:00;186;136;1243;;36;;758;2359
12.01.2023 01:00:00;12.01.2023 02:00:00;186;137;1130;;36;;728;2217
12.01.2023 02:00:00;12.01.2023 03:00:00;186;136;1102;;36;;664;2124
12.01.2023 03:00:00;12.01.2023 04:00:00;186;134;1069;;39;;543;1971
12.01.2023 04:00:00;12.01.2023 05:00:00;185;135;1283;;40;;474;2117
12.01.2023 05:00:00;12.01.2023 06:00:00;185;137;1384;;41;;495;2242
12.01.2023 06:00:00;12.01.2023 07:00:00;185;139;2344;;39;;545;3252
12.01.2023 07:00:00;12.01.2023 08:00:00;185;142;3034;;40;;530;3931
12.01.2023 08:00:00;12.01.2023 09:00:00;185;144;3029;;41;;550;3949
12.01.2023 09:00:00;12.01.2023 10:00:00;185;147;3018;;42;;465;3857
12.01.2023 10:00:00;12.01.2023 11:00:00;185;149;2968;;47;;379;3728
12.01.2023 11:00:00;12.01.2023 12:00:00;185;147;3033;;37;;369;3771
12.01.2023 12:00:00;12.01.2023 13:00:00;185;146;2846;;38;;403;3618
12.01.2023 13:00:00;12.01.2023 14:00:00;184;148;2943;;33;;376;3684
12.01.2023 14:00:00;12.01.2023 15:00:00;184;149;2922;;33;;431;3719
12.01.2023 15:00:00;12.01.2023 16:00:00;184;144;2568;;40;;465;3401
12.01.2023 16:00:00;12.01.2023 17:00:00;184;147;2512;;42;;378;3263
12.01.2023 17:00:00;12.01.2023 18:00:00;184;148;3019;;37;;275;3663
12.01.2023 18:00:00;12.01.2023 19:00:00;184;145;3002;;38;;235;3604
12.01.2023 19:00:00;12.01.2023 20:00:00;184;147;3115;;38;;208;3692
12.01.2023 20:00:00;12.01.2023 21:00:00;184;140;3139;;38;;193;3694
12.01.2023 21:00:00;12.01.2023 22:00:00;184;139;3299;;38;;175;3835
12.01.2023 22:00:00;12.01.2023 23:00:00;184;139;3292;;37;;163;3815
12.01.2023 23:00:00;13.01.2023 00:00:00;184;139;3307;;37;;171;3838
13.01.2023 00:00:00;13.01.2023 01:00:00;184;136;2910;;38;;166;3434
13.01.2023 01:00:00;13.01.2023 02:00:00;184;134;2405;;39;;157;2919
13.01.2023 02:00:00;13.01.2023 03:00:00;184;133;2376;;38;;150;2881
13.01.2023 03:00:00;13.01.2023 04:00:00;184;132;2297;;36;;150;2799
13.01.2023 04:00:00;13.01.2023 05:00:00;184;132;2081;;38;;133;2568
13.01.2023 05:00:00;13.01.2023 06:00:00;184;134;2877;;40;;120;3355
13.01.2023 06:00:00;13.01.2023 07:00:00;184;133;3611;;42;;110;4080
13.01.2023 07:00:00;13.01.2023 08:00:00;184;153;3684;;38;;110;4169
13.01.2023 08:00:00;13.01.2023 09:00:00;185;156;3693;;29;;100;4163
13.01.2023 09:00:00;13.01.2023 10:00:00;184;155;3706;;27;;109;4181
13.01.2023 10:00:00;13.01.2023 11:00:00;185;156;3690;;32;;86;4149
13.01.2023 11:00:00;13.01.2023 12:00:00;185;155;3697;;31;;102;4170
13.01.2023 12:00:00;13.01.2023 13:00:00;183;155;3593;;39;;118;4088
13.01.2023 13:00:00;13.01.2023 14:00:00;185;155;3534;;36;;138;4048
13.01.2023 14:00:00;13.01.2023 15:00:00;185;150;3628;;38;;123;4124
13.01.2023 15:00:00;13.01.2023 16:00:00;185;150;3819;;38;;124;4316
13.01.2023 16:00:00;13.01.2023 17:00:00;185;152;3884;;40;;156;4417
13.01.2023 17:00:00;13.01.2023 18:00:00;185;155;3879;;39;;170;4428
13.01.2023 18:00:00;13.01.2023 19:00:00;185;154;3867;;38;;201;4445
13.01.2023 19:00:00;13.01.2023 20:00:00;186;153;3855;;36;;241;4471
13.01.2023 20:00:00;13.01.2023 21:00:00;186;145;3580;;37;;290;4238
13.01.2023 21:00:00;13.01.2023 22:00:00;196;140;3562;;39;;354;4291
13.01.2023 22:00:00;13.01.2023 23:00:00;193;137;3514;;40;;421;4305
13.01.2023 23:00:00;14.01.2023 00:00:00;179;136;3384;;41;;402;4142
14.01.2023 00:00:00;14.01.2023 01:00:00;179;130;3165;;42;;448;3964
14.01.2023 01:00:00;14.01.2023 02:00:00;179;130;3140;;41;;436;3926
14.01.2023 02:00:00;14.01.2023 03:00:00;179;130;3194;;41;;353;3897
14.01.2023 03:00:00;14.01.2023 04:00:00;179;130;3252;;40;;309;3910
